,Year,Category,Nominee,Movie,Winner
38,2010 (83rd),Directing,Black Swan,Darren Aronofsky,NO
39,2010 (83rd),Directing,The Fighter,David O. Russell,NO
41,2010 (83rd),Directing,The Social Network,David Fincher,NO
42,2010 (83rd),Directing,True Grit,Joel Coen and Ethan Coen,NO
175,2009 (82nd),Directing,Avatar,James Cameron,NO
177,2009 (82nd),Directing,Inglourious Basterds,Quentin Tarantino,NO
178,2009 (82nd),Directing,Precious: Based on the Novel 'Push' by Sapphire,Lee Daniels,NO
179,2009 (82nd),Directing,Up in the Air,Jason Reitman,NO
313,2008 (81st),Directing,The Curious Case of Benjamin Button,David Fincher,NO
314,2008 (81st),Directing,Frost/Nixon,Ron Howard,NO
315,2008 (81st),Directing,Milk,Gus Van Sant,NO
316,2008 (81st),Directing,The Reader,Stephen Daldry,NO
431,2007 (80th),Directing,The Diving Bell and the Butterfly,Julian Schnabel,NO
432,2007 (80th),Directing,Juno,Jason Reitman,NO
433,2007 (80th),Directing,Michael Clayton,Tony Gilroy,NO
435,2007 (80th),Directing,There Will Be Blood,Paul Thomas Anderson,NO
558,2006 (79th),Directing,Babel,Alejandro González Iñárritu,NO
560,2006 (79th),Directing,Letters from Iwo Jima,Clint Eastwood,NO
561,2006 (79th),Directing,The Queen,Stephen Frears,NO
562,2006 (79th),Directing,United 93,Paul Greengrass,NO
689,2005 (78th),Directing,Capote,Bennett Miller,NO
690,2005 (78th),Directing,Crash,Paul Haggis,NO
691,2005 (78th),Directing,"Good Night, and Good Luck.",George Clooney,NO
692,2005 (78th),Directing,Munich,Steven Spielberg,NO
817,2004 (77th),Directing,The Aviator,Martin Scorsese,NO
819,2004 (77th),Directing,Ray,Taylor Hackford,NO
820,2004 (77th),Directing,Sideways,Alexander Payne,NO
821,2004 (77th),Directing,Vera Drake,Mike Leigh,NO
946,2003 (76th),Directing,City of God,Fernando Meirelles,NO
948,2003 (76th),Directing,Lost in Translation,Sofia Coppola,NO
949,2003 (76th),Directing,Master and Commander: The Far Side of the World,Peter Weir,NO
950,2003 (76th),Directing,Mystic River,Clint Eastwood,NO
1070,2002 (75th),Directing,Chicago,Rob Marshall,NO
1071,2002 (75th),Directing,Gangs of New York,Martin Scorsese,NO
1072,2002 (75th),Directing,The Hours,Stephen Daldry,NO
1074,2002 (75th),Directing,Talk to Her,Pedro Almodóvar,NO
1196,2001 (74th),Directing,Black Hawk Down,Ridley Scott,NO
1197,2001 (74th),Directing,Gosford Park,Robert Altman,NO
1198,2001 (74th),Directing,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,NO
1199,2001 (74th),Directing,Mulholland Drive,David Lynch,NO
