,hero,disadvantage,winrate,matches
0,Huskar,4.86,43.0,38998
1,Techies,2.75,44.45,56784
2,Oracle,2.48,46.72,26957
3,Monkey King,2.4,46.87,86554
4,Lifestealer,2.17,45.13,56574
5,Morphling,2.14,45.92,80408
6,Slark,2.04,43.91,130927
7,Troll Warlord,1.88,43.84,56359
8,Juggernaut,1.77,43.1,169562
9,Necrophos,1.62,41.87,67056
10,Meepo,1.59,47.05,18662
11,Venomancer,1.58,43.0,68817
12,Silencer,1.49,44.96,60460
13,Shadow Fiend,1.4,45.63,99698
14,Lone Druid,1.31,42.62,27863
15,Dazzle,1.26,44.8,54608
16,Underlord,1.19,39.15,51183
17,Enchantress,1.18,49.53,29980
18,Grimstroke,1.12,48.55,58972
19,Viper,1.11,45.21,65416
20,Sven,1.05,43.61,83769
21,Drow Ranger,0.99,45.08,76048
22,Doom,0.94,45.87,53724
23,Legion Commander,0.89,44.56,120760
24,Weaver,0.88,45.77,50587
25,Outworld Devourer,0.87,49.61,31992
26,Nature's Prophet,0.85,52.12,83322
27,Ursa,0.79,44.88,96256
28,Dragon Knight,0.75,46.24,49099
29,Abaddon,0.64,44.0,31526
30,Chen,0.58,51.61,7136
31,Snapfire,0.57,47.26,41969
32,Dark Willow,0.52,45.7,43339
33,Brewmaster,0.43,46.87,14763
34,Earth Spirit,0.4,48.27,35882
35,Omniknight,0.39,44.59,16635
36,Invoker,0.38,46.6,135071
37,Puck,0.37,49.37,48917
38,Alchemist,0.35,45.08,41743
39,Tinker,0.35,50.59,44754
40,Crystal Maiden,0.31,43.49,103045
41,Treant Protector,0.29,44.34,47880
42,Io,0.27,54.18,22730
43,Shadow Shaman,0.25,45.55,74682
44,Clinkz,0.2,41.94,67042
45,Ogre Magi,0.19,42.37,157617
46,Magnus,0.18,45.45,56287
47,Death Prophet,0.13,48.02,21622
48,Faceless Void,0.11,44.63,127006
49,Phoenix,0.07,44.86,48068
50,Bane,0.02,44.43,37986
51,Disruptor,-0.03,45.87,75188
52,Night Stalker,-0.1,43.57,45282
53,Gyrocopter,-0.11,50.28,29599
54,Storm Spirit,-0.15,48.41,72751
55,Sniper,-0.19,47.24,146251
56,Riki,-0.22,44.25,53843
57,Lich,-0.25,45.38,72893
58,Winter Wyvern,-0.25,48.89,44217
