,,age_grp,Count,Notes,Rate,Statistics
0,Year,0-1,,,,County
1,Year,0-1,,,,Adair
2,Year,0-1,,,,Andrew
3,Year,0-1,,,,Atchison
4,Year,0-1,,,,Audrain
5,Year,0-1,,,,Barry
6,Year,0-1,,,,Barton
7,Year,0-1,,,,Bates
8,Year,0-1,,,,Benton
9,Year,0-1,,,,Bollinger
10,Year,0-1,,,,Boone
11,Year,0-1,,,,Buchanan
12,Year,0-1,,,,Butler
13,Year,0-1,,,,Caldwell
14,Year,0-1,,,,Callaway
15,Year,0-1,,,,Camden
16,Year,0-1,,,,Cape Girardeau
17,Year,0-1,,,,Carroll
18,Year,0-1,,,,Carter
19,Year,0-1,,,,Cass
20,Year,0-1,,,,Cedar
21,Year,0-1,,,,Chariton
22,Year,0-1,,,,Christian
23,2001,0-1,0.0,,0.0,
23,2002,0-1,0.0,,0.0,
23,2003,0-1,0.0,,0.0,
23,2004,0-1,0.0,,0.0,
23,2005,0-1,0.0,,0.0,
23,2006,0-1,0.0,,0.0,
23,2007,0-1,0.0,,0.0,
23,2008,0-1,0.0,,0.0,
23,2009,0-1,0.0,,0.0,
23,2010,0-1,0.0,,0.0,
23,2011,0-1,0.0,,0.0,
23,2012,0-1,0.0,,0.0,
23,2013,0-1,0.0,,0.0,
23,2014,0-1,0.0,,0.0,
23,2015,0-1,0.0,,0.0,
23,Year,0-1,,,,Clark
24,Year,0-1,,,,Clay
25,Year,0-1,,,,Clinton
26,Year,0-1,,,,Cole
27,Year,0-1,,,,Cooper
28,Year,0-1,,,,Crawford
29,Year,0-1,,,,Dade
30,Year,0-1,,,,Dallas
31,Year,0-1,,,,Daviess
32,Year,0-1,,,,DeKalb
33,Year,0-1,,,,Dent
34,Year,0-1,,,,Douglas
35,Year,0-1,,,,Dunklin
36,Year,0-1,,,,Franklin
37,Year,0-1,,,,Gasconade
38,Year,0-1,,,,Gentry
39,2001,0-1,,*,,
39,2002,0-1,,*,,
39,2003,0-1,,*,,
39,2004,0-1,,*,,
39,2005,0-1,,*,,
39,2006,0-1,,*,,
39,2007,0-1,,*,,
39,2008,0-1,,*,,
39,2009,0-1,,*,,
39,2010,0-1,,*,,
39,2011,0-1,,*,,
39,2012,0-1,,*,,
39,2013,0-1,,*,,
39,2015,0-1,,*,,
39,2001,0-1,9.0,,2.99,
39,2002,0-1,9.0,,2.92,
39,2003,0-1,9.0,,2.8,
39,2004,0-1,12.0,,3.67,
39,2005,0-1,6.0,,1.74,
39,2006,0-1,10.0,,2.93,
39,2007,0-1,11.0,,2.91,
39,2008,0-1,8.0,,2.19,
39,2009,0-1,6.0,,1.69,
39,2010,0-1,5.0,,1.42,
